xpos,ypos
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.49
1.25,3.48
1.24,3.48
1.24,3.48
1.24,3.48
1.24,3.48
1.24,3.48
1.22,3.49
1.20,3.50
1.19,3.51
1.15,3.54
1.10,3.58
1.09,3.59
1.05,3.62
1.02,3.64
0.97,3.67
0.91,3.71
0.89,3.72
0.85,3.74
0.82,3.76
0.78,3.78
0.73,3.82
0.70,3.84
0.67,3.85
0.63,3.88
0.60,3.89
0.56,3.92
0.51,3.95
0.45,3.98
0.40,4.01
0.35,4.03
0.28,4.06
0.21,4.10
0.15,4.13
0.04,4.18
-0.01,4.20
-0.08,4.23
-0.20,4.28
-0.25,4.30
-0.32,4.33
-0.42,4.37
-0.46,4.38
-0.50,4.39
-0.55,4.41
-0.58,4.42
-0.64,4.44
-0.69,4.46
-0.74,4.47
-0.81,4.50
-0.88,4.52
-0.96,4.54
-1.03,4.57
-1.13,4.59
-1.26,4.63
-1.39,4.67
-1.54,4.70
-1.68,4.74
-1.78,4.75
-1.79,4.76
-1.80,4.75
-1.80,4.76
-1.80,4.76
-1.80,4.76
-1.80,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.76
-1.81,4.77
-1.81,4.77
-1.81,4.78
-1.80,4.78
-1.80,4.79
-1.80,4.79
-1.80,4.79
-1.80,4.79
-1.80,4.79
-1.79,4.80
-1.79,4.80
-1.79,4.80
-1.79,4.80
-1.79,4.80
-1.78,4.80
-1.76,4.82
-1.75,4.83
-1.73,4.84
-1.72,4.85
-1.70,4.86
-1.68,4.88
-1.65,4.91
-1.59,4.95
-1.56,4.97
-1.53,4.99
-1.50,5.01
-1.47,5.03
-1.44,5.06
-1.38,5.10
-1.36,5.11
-1.34,5.13
-1.33,5.14
-1.30,5.15
-1.28,5.17
-1.27,5.18
-1.25,5.19
-1.21,5.22
-1.14,5.26
-1.11,5.28
-1.06,5.31
-1.02,5.34
-0.97,5.37
-0.89,5.42
-0.87,5.43
-0.82,5.46
-0.79,5.48
-0.70,5.53
-0.64,5.57
-0.61,5.59
-0.56,5.62
-0.50,5.66
-0.40,5.71
-0.38,5.72
-0.34,5.75
-0.29,5.77
-0.23,5.81
-0.14,5.86
-0.13,5.87
-0.09,5.89
-0.04,5.92
0.05,5.97
0.12,6.01
0.18,6.04
0.24,6.07
0.35,6.14
0.40,6.17
0.44,6.18
0.50,6.21
0.61,6.28
0.63,6.30
0.67,6.31
