xpos,ypos
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
1.25,3.53
